algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
ucb1,0,1,9,90,99,5,hard_capacity_control,-99.31324682480468,-6.44900135406356,83.18426118592572,80.3925586088605,1,0,0.002307673325286836,86.04824874319331
softmax,0,1,9,90,99,5,hard_capacity_control,-99.31324682480468,-6.44900135406356,83.18426118592572,80.3925586088605,1,0,0.002307673325286836,86.04824874319331
pac_successive_elimination,0,1,9,90,99,4,high_taxation,1.4414219711350111,-2.996383344372814,173.33020253752605,167.5568700525274,0,,0.002459600946719137,179.25500402108943
epsilon_greedy,0,1,10,100,109,7,weak_capacity_control,-99.1390889263102,-2.374557286692068,103.59427571718008,100.06786205925833,1,0,0.0009666933279302226,107.20113722243556
ucb1,0,1,10,100,109,7,weak_capacity_control,-99.25456121836376,-2.5972512483213244,89.7643239461466,86.70641139551137,1,0,0.0009666933279302226,92.8921199328942
softmax,0,1,10,100,109,7,weak_capacity_control,-99.25456121836376,-2.5972512483213244,89.7643239461466,86.70641139551137,1,0,0.0009666933279302226,92.8921199328942
pac_successive_elimination,0,1,10,100,109,4,high_taxation,1.5568723522673862,-1.0068935879298633,186.94550950263795,180.61698003898144,0,,0.001030336399225272,193.41874213456222
epsilon_greedy,0,1,11,110,119,7,weak_capacity_control,-99.06878948365477,-0.9354482351112612,111.85751574963933,108.02730834814129,1,0,0.0004049515934620661,115.77033179346006
ucb1,0,1,11,110,119,7,weak_capacity_control,-99.19328722653104,-1.040369611373566,96.93037716964011,93.60859316459894,1,0,0.0004049515934620661,100.32390987286836
softmax,0,1,11,110,119,7,weak_capacity_control,-99.19328722653104,-1.040369611373566,96.93037716964011,93.60859316459894,1,0,0.0004049515934620661,100.32390987286836
pac_successive_elimination,0,1,11,110,119,4,high_taxation,1.6811487446008517,-0.3081172795188477,201.77482342564446,194.90147115635418,0,,0.00043161192346447843,208.79569259277622
epsilon_greedy,0,2,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
ucb1,0,2,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
softmax,0,2,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
