algorithm,seed,episode,window_index,window_start_step,window_end_step,context_bias,context_fish_norm,context_ships_norm,context_time_norm,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
linucb,0,1,8,80,89,1.0,0.06326650924713065,0.00131505993857492,0.6666666666666666,10,moderate_marine_reserve,-99.35863289012244,-17.55542824639032,79.07070457487305,76.47214436910056,1,0,0.005508837210703079,81.74769594695007
contextual_thompson,0,1,8,80,89,1.0,0.06326650924713065,0.00131505993857492,0.6666666666666666,4,high_taxation,-99.35731626409735,-15.76916567214494,79.01434818897638,76.4596644813359,1,0,0.005508837210703079,81.65474319955
discretized_contextual,0,1,8,80,89,1.0,0.0619813725648811,0.00131505993857492,0.6666666666666666,4,high_taxation,-99.3708344670325,-15.91451089439991,77.40960526342867,74.90658217873882,1,0,0.005508837210703079,79.99661230533295
linucb,0,1,9,90,99,1.0,0.06812307995579173,0.0005508837210703079,0.75,3,moderate_taxation,-99.2962074030839,-6.371808314601684,85.2197286276842,82.3600267854566,1,0,0.002307673325286836,88.1534648366238
contextual_thompson,0,1,9,90,99,1.0,0.06804561933295833,0.0005508837210703079,0.75,10,moderate_marine_reserve,-99.2976130105706,-7.181961784182433,85.1482741456303,82.27200372192894,1,0,0.002307673325286836,88.09522815708037
discretized_contextual,0,1,9,90,99,1.0,0.06666384358777745,0.0005508837210703079,0.75,3,moderate_taxation,-99.31148589350451,-6.441023884615959,83.39461564561294,80.59588502475951,1,0,0.002307673325286836,86.26581207899426
linucb,0,1,10,100,109,1.0,0.0734612206971865,0.00023076733252868362,0.8333333333333334,7,weak_capacity_control,-99.23622904243894,-2.562376007054212,91.9600000281738,88.82765246181492,1,0,0.0009666933279302226,95.16391753584305
contextual_thompson,0,1,10,100,109,1.0,0.07341269013090031,0.00023076733252868362,0.8333333333333334,7,weak_capacity_control,-99.23673616373465,-2.563340759085224,91.89926124293343,88.76897253245708,1,0,0.0009666933279302226,95.10107325572542
discretized_contextual,0,1,10,100,109,1.0,0.07188817673249522,0.00023076733252868362,0.8333333333333334,10,moderate_marine_reserve,-99.25293006713972,-2.950873287754139,90.00249673776533,86.92811941798485,1,0,0.0009666933279302226,93.145488026451
linucb,0,1,11,110,119,1.0,0.07930326461320254,9.666933279302226e-05,0.9166666666666666,1,baseline_laissez_faire,-99.17352110539369,-1.024466557101126,99.30040333960963,95.89782297174857,1,0,0.0004049515934620661,102.7764553250707
contextual_thompson,0,1,11,110,119,1.0,0.07925089437977119,9.666933279302226e-05,0.9166666666666666,1,baseline_laissez_faire,-99.17406789238619,-1.0249104957656112,99.23484217314959,95.83449652591432,1,0,0.0004049515934620661,102.70861189822705
discretized_contextual,0,1,11,110,119,1.0,0.0776212400220425,9.666933279302226e-05,0.9166666666666666,7,weak_capacity_control,-99.19108276237091,-1.0386110001396287,97.19470183550874,93.86390564282569,1,0,0.0004049515934620661,100.5974394551586
